Date,PropertyStatus,SellingPrice,MonthlyRentPrice,CostPrice,PropertyType,SalesPersonID,Location,AgentName,CommissionRate,CommissionEarned,ClientID,PropertyID,MarketingChannel,FeedbackRating,LeadSource,FinancingType,PropertyCondition
2019-12-12,Rent,,24343.0,4253785,Commercial,7,Chennai,Agent 3,4.61,280979.79,1640,48599,Print advertising,1,Direct Inquiry,Flexi Payment Plan,New
2021-05-04,Sale,19298184.0,,7333168,House,5,Mumbai,Agent 8,3.9,254227.83,16050,14629,Online platforms,1,Advertisement,Down Payment Plan,New
2020-03-09,Rent,,47588.0,14509468,Apartment,3,Delhi,Agent 10,3.12,207295.18,48266,6718,Print advertising,3,Social Media,Down Payment Plan,New
2023-08-22,Rent,,34313.0,4918585,Condo,2,Mumbai,Agent 5,2.8,228677.51,5698,38699,Digital ads,4,Social Media,CLP,Good
2022-08-03,Sale,15733739.0,,4604967,House,9,Bangalore,Agent 10,2.96,69201.29,2083,1953,Digital ads,3,Social Media,Flexi Payment Plan,Good
2019-10-19,Rent,,47403.0,9557337,Condo,10,Mumbai,Agent 9,3.99,222200.48,14329,15248,Email marketing,3,Advertisement,Down Payment Plan,Needs Repair
2023-04-20,Sale,13029079.0,,6937985,House,3,Bangalore,Agent 2,2.78,123941.67,39454,1740,Print advertising,2,Advertisement,Down Payment Plan,Needs Repair
2023-10-10,Sale,5623969.0,,8536495,Commercial,9,Delhi,Agent 9,4.91,148748.51,13032,46926,Print advertising,1,Advertisement,Flexi Payment Plan,Good
2023-08-21,Rent,,35605.0,7930166,House,5,Mumbai,Agent 4,3.2,233726.79,27494,14447,Digital ads,5,Direct Inquiry,Down Payment Plan,Good
2022-10-27,Rent,,27736.0,9063328,Apartment,3,Bangalore,Agent 3,3.04,214694.02,38619,18232,Email marketing,4,Direct Inquiry,Down Payment Plan,Needs Repair
2019-01-21,Rent,,35645.0,4667080,Apartment,8,Chennai,Agent 8,4.29,132998.61,49730,10464,Print advertising,5,Advertisement,Down Payment Plan,Good
2022-08-06,Sale,17257610.0,,7001743,House,1,Chennai,Agent 6,3.97,112650.38,22299,18211,Online platforms,4,Referral,Down Payment Plan,Needs Repair
2020-04-28,Rent,,10634.0,14561571,Commercial,5,Chennai,Agent 10,4.14,188364.55,14111,22060,Print advertising,2,Direct Inquiry,Flexi Payment Plan,Good
2019-11-14,Sale,9562692.0,,3739514,Condo,5,Chennai,Agent 3,3.76,299213.72,6079,24899,Print advertising,5,Referral,Down Payment Plan,New
2019-10-28,Sale,5085592.0,,4466100,Apartment,8,Chennai,Agent 8,3.81,144400.52,23527,22542,Print advertising,3,Social Media,Down Payment Plan,Needs Repair
2021-04-01,Sale,16130638.0,,6030335,Condo,9,Hyderabad,Agent 5,4.12,115125.18,2848,47824,Online platforms,5,Advertisement,Cash,Needs Repair
2022-11-28,Rent,,12556.0,13444450,House,6,Hyderabad,Agent 4,4.14,53204.58,35143,8181,Email marketing,5,Advertisement,CLP,Good
2022-03-22,Sale,6809095.0,,3909518,Condo,3,Bangalore,Agent 9,3.15,258308.93,5165,36179,Digital ads,3,Social Media,Cash,Needs Repair
2021-06-29,Sale,14324641.0,,10804364,House,7,Hyderabad,Agent 5,4.59,115769.17,41199,40536,Email marketing,4,Advertisement,CLP,Good
2022-01-28,Rent,,46698.0,3979862,Condo,3,Bangalore,Agent 10,4.59,248908.89,37838,12602,Email marketing,1,Social Media,Down Payment Plan,New
2019-08-05,Sale,18389020.0,,9014583,House,10,Mumbai,Agent 8,3.82,151464.74,3004,43337,Online platforms,2,Referral,Cash,Needs Repair
2020-12-09,Rent,,25787.0,7649238,House,9,Bangalore,Agent 10,2.91,65728.99,18966,5230,Digital ads,1,Direct Inquiry,Flexi Payment Plan,New
2020-12-24,Rent,,40393.0,12397634,Commercial,10,Hyderabad,Agent 7,3.92,285456.33,6620,24912,Online platforms,5,Advertisement,CLP,Good
2021-05-13,Sale,7719008.0,,9010364,House,10,Bangalore,Agent 3,2.72,192657.04,29715,41661,Print advertising,1,Social Media,Down Payment Plan,New
2022-02-07,Rent,,16376.0,10030219,Condo,2,Delhi,Agent 9,4.33,64179.88,10660,24261,Digital ads,2,Referral,Down Payment Plan,New
2022-01-08,Rent,,47252.0,5657620,House,7,Chennai,Agent 1,3.81,191165.84,13731,43921,Online platforms,5,Social Media,Cash,New
2021-04-09,Sale,19558126.0,,12046854,Commercial,1,Chennai,Agent 5,3.94,180555.33,45995,44797,Digital ads,1,Referral,Down Payment Plan,Good
2019-08-10,Rent,,48102.0,9195680,Apartment,4,Mumbai,Agent 6,2.67,233191.55,39921,41614,Email marketing,2,Social Media,Down Payment Plan,Needs Repair
2020-06-15,Rent,,35493.0,5349192,Commercial,2,Hyderabad,Agent 10,3.97,91246.49,35006,47785,Digital ads,2,Referral,Flexi Payment Plan,Good
2021-01-30,Sale,18091292.0,,3420336,Condo,6,Hyderabad,Agent 8,2.69,191207.2,10709,30295,Online platforms,1,Direct Inquiry,Down Payment Plan,Needs Repair
2022-03-24,Sale,17732967.0,,9389789,House,10,Bangalore,Agent 8,4.74,225740.72,17692,41944,Digital ads,3,Direct Inquiry,Cash,New
2023-09-27,Rent,,33748.0,10679717,Commercial,1,Mumbai,Agent 7,3.76,219166.55,14393,44867,Online platforms,3,Direct Inquiry,Cash,Good
2021-10-04,Rent,,42792.0,13186741,Apartment,6,Mumbai,Agent 6,2.78,117124.96,3666,15011,Print advertising,2,Advertisement,Down Payment Plan,New
2019-04-10,Sale,7302577.0,,11522131,Apartment,1,Bangalore,Agent 10,4.46,279038.89,20674,26291,Print advertising,1,Referral,Cash,Good
2021-04-11,Sale,6496145.0,,7054789,Commercial,2,Hyderabad,Agent 7,3.4,60452.75,4338,13827,Email marketing,1,Advertisement,CLP,New
2023-10-29,Rent,,29982.0,10535639,Condo,2,Bangalore,Agent 1,3.34,284304.37,47050,20623,Digital ads,2,Direct Inquiry,Cash,Good
2020-10-22,Rent,,43909.0,9692091,House,7,Mumbai,Agent 9,4.72,197226.17,42955,32718,Email marketing,5,Direct Inquiry,Flexi Payment Plan,Good
2022-05-14,Sale,14541443.0,,4259391,House,8,Delhi,Agent 5,3.46,198841.62,42130,30072,Online platforms,4,Referral,Down Payment Plan,New
2020-03-19,Sale,5289986.0,,3518377,Apartment,7,Hyderabad,Agent 4,3.32,200002.68,17360,9151,Digital ads,1,Advertisement,Down Payment Plan,New
2021-02-05,Rent,,20682.0,7894024,Apartment,6,Chennai,Agent 7,4.46,276702.41,48824,36790,Email marketing,3,Social Media,Flexi Payment Plan,New
2023-08-02,Sale,10514437.0,,13292926,Condo,8,Chennai,Agent 1,4.68,188710.23,17220,48957,Digital ads,3,Advertisement,Flexi Payment Plan,Good
